Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 16.30      0.15     0.15 13200084     0.00     0.00  luaH_gset
  9.78      0.24     0.09 16800022     0.00     0.00  const_init
  8.70      0.32     0.08                             luaV_finishget
  7.61      0.39     0.07                             value_equal
  6.52      0.45     0.06  3600186     0.00     0.00  luaV_execute
  6.52      0.51     0.06                             const_destroy
  5.43      0.56     0.05  8799331     0.00     0.00  utf8_decode
  3.26      0.59     0.03  4399431     0.00     0.00  lua_setmetatable
  3.26      0.62     0.03  1600044     0.00     0.00  luaH_del
  2.17      0.64     0.02 10400469     0.00     0.00  luaH_create
  2.17      0.66     0.02  2400014     0.00     0.00  setsvalue
  2.17      0.68     0.02        3     6.67     6.67  llex
  2.17      0.70     0.02                             luaH_gset_int
  2.17      0.72     0.02                             luaV_equalobj
  2.17      0.74     0.02                             str_compare
  1.09      0.75     0.01 19200105     0.00     0.00  flt_new
  1.09      0.76     0.01  3600235     0.00     0.00  luaH_del_set
  1.09      0.77     0.01  3599146     0.00     0.00  obj_destroy
  1.09      0.78     0.01  1600253     0.00     0.00  read_string
  1.09      0.79     0.01   800002     0.00     0.00  setobj2s
  1.09      0.80     0.01   800001     0.00     0.00  luaO_int2fb
  1.09      0.81     0.01        1    10.00    16.67  utflen
  1.09      0.82     0.01                             luaH_newkey
  1.09      0.83     0.01                             luaH_setifexist
  1.09      0.84     0.01                             luaV_lessequal
  1.09      0.85     0.01                             stack_push2
  1.09      0.86     0.01                             value_compare
  0.00      0.86     0.00  3600174     0.00     0.00  luaH_get_next
  0.00      0.86     0.00  3600174     0.00     0.00  luaO_arith
  0.00      0.86     0.00   800007     0.00     0.00  luaH_free
  0.00      0.86     0.00   800005     0.00     0.00  luaO_pushvfstring
  0.00      0.86     0.00   800002     0.00     0.00  pushline
  0.00      0.86     0.00      430     0.00     0.00  list_at
  0.00      0.86     0.00      430     0.00     0.00  list_pop_front
  0.00      0.86     0.00      428     0.00     0.00  luaX_next
  0.00      0.86     0.00      379     0.00     0.00  partition
  0.00      0.86     0.00      336     0.00     0.00  list_addArray
  0.00      0.86     0.00      330     0.00     0.00  str_unpack
  0.00      0.86     0.00      320     0.00     0.00  retstat
  0.00      0.86     0.00      258     0.00     0.00  error
  0.00      0.86     0.00      257     0.00     0.00  list_destroy
